Year,Host_country,Host_city
1896,Greece,Athens
1900,France,Paris
1904,United States,St. Louis
1908,United Kingdom,London
1912,Sweden,Stockholm
1920,Belgium,Antwerp
1924,France,Paris
1928,Netherlands,Amsterdam
1932,United States,Los Angeles
1936,Germany,Berlin
1948,United Kingdom,London
1952,Finland,Helsinki
1956,Australia,Melbourne
1956,Sweden,Stockholm
1960,Italy,Rome
1964,Japan,Tokyo
1968,Mexico,Mexico City
1972,West Germany,Munich
1976,Canada,Montreal
1980,Soviet Union,Moscow
1984,United States,Los Angeles
1988,"Korea, Republic of (South)",Seoul
1992,Spain,Barcelona
1996,United States,Atlanta
2000,Australia,Sydney
2004,Greece,Athens
2008,"China, People's Republic of",Beijing
2012,United Kingdom,London
2016,Brazil,Rio de Janeiro
2020,Japan,Tokyo
